,,precision,recall,fallout,specifity,miss_rate,precision,recall,fallout,specifity,miss_rate,precision,recall,fallout,specifity,miss_rate,precision,recall,fallout,specifity,miss_rate,precision,recall,fallout,specifity,miss_rate,precision,recall,fallout,specifity,miss_rate
,,BPRMF,BPRMF,BPRMF,BPRMF,BPRMF,WRMF,WRMF,WRMF,WRMF,WRMF,SVD,SVD,SVD,SVD,SVD,CoFFee,CoFFee,CoFFee,CoFFee,CoFFee,mostpopular,mostpopular,mostpopular,mostpopular,mostpopular,random,random,random,random,random
fold,top-n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30,0.700037983287,0.348844508416,0.172741993523,0.784436847787,0.647796969333,0.694514413658,0.334052017112,0.139150440473,0.818028400837,0.662589460637,0.69044320499,0.337633774473,0.15378966588,0.803389175429,0.659007703277,0.702974691136,0.304676942145,0.108784801354,0.848394039956,0.691964535604,0.570584942625,0.190244292511,0.0830014793491,0.874177361961,0.806397185238,0.0461796809404,0.00829834872656,0.00658510255488,0.950593738755,0.988343129023
2,50,0.713779270454,0.450059973612,0.240916330148,0.716262511162,0.546581504138,0.720253421828,0.426168819053,0.198216451428,0.758962389882,0.570472658697,0.705899737449,0.424851731905,0.221740101022,0.735438740288,0.571789745845,0.727455919395,0.389511614889,0.158278690709,0.7989001506,0.60712986286,0.615075366839,0.245730878413,0.118144016633,0.839034824677,0.750910599336,0.0793450881612,0.0145396025749,0.0129146508869,0.944264190423,0.982101875175
2,70,0.712049698133,0.51751229459,0.295019857929,0.662158983381,0.479129183159,0.726666266843,0.491124905042,0.247275198912,0.709903642397,0.505516572708,0.707207162182,0.489434981941,0.272770314395,0.684408526915,0.507206495809,0.736477616515,0.4526868178,0.201961470286,0.755217371023,0.54395465995,0.659403862301,0.286884437514,0.141760958512,0.815417882798,0.709757040236,0.114609571788,0.0201881172284,0.0166789945757,0.940499846734,0.976453360521
2,100,0.70456232591,0.588782602322,0.358702837418,0.598476003892,0.407858875428,0.720324390601,0.559631095651,0.305876747564,0.651302093745,0.437010382099,0.702299321632,0.556204270121,0.331564778164,0.625614063146,0.440437207629,0.731086322018,0.524699465568,0.255143070382,0.702035770927,0.471942012181,0.683143416897,0.345319059614,0.184580118081,0.772598723228,0.651322418136,0.145675902603,0.0277957698613,0.0264460304133,0.930732810897,0.968845707889
3,1,0.239495798319,0.0421128451381,0.00808156595972,0.936456249166,0.955366146459,0.265546218487,0.0465529545151,0.0072585700947,0.937279245031,0.950926037081,0.273109243697,0.0472402294251,0.00676770708283,0.937770108043,0.950238762172,0.260504201681,0.0457326263839,0.00564225690276,0.938895558223,0.951746365213,0.109243697479,0.0194677871148,0.0041289849273,0.940408830199,0.978011204482,0.00336134453782,0.000610244097639,0.000288115246098,0.94424969988,0.996868747499
3,2,0.349579831933,0.0673132586368,0.0152197545685,0.929318060558,0.93016573296,0.395378151261,0.0792537014806,0.0134487128185,0.931089102308,0.918225290116,0.392016806723,0.0791830065359,0.0165122715753,0.928025543551,0.918295985061,0.373949579832,0.0741579965319,0.0111527944511,0.933385020675,0.923320995065,0.194117647059,0.035764639189,0.00937608376684,0.935161731359,0.961714352408,0.00588235294118,0.00093704148326,0.000498199279712,0.944039615846,0.996541950113
3,3,0.421008403361,0.0904281712685,0.0221708683473,0.922366946779,0.907050820328,0.468207282913,0.103590769641,0.0203338001867,0.924204014939,0.893888221955,0.470308123249,0.104340402828,0.0262955182073,0.918242296919,0.893138588769,0.447198879552,0.0966056422569,0.0168500733627,0.927687741763,0.90087334934,0.232352941176,0.0459900626917,0.0114679205015,0.933069894625,0.951488928905,0.0100840336134,0.00152627717754,0.000591569961318,0.943946245165,0.995952714419
3,5,0.510224089636,0.123836201147,0.0360300786981,0.908507736428,0.87364279045,0.560644257703,0.141473589436,0.0358746832066,0.908663131919,0.856005402161,0.55175070028,0.140952714419,0.0417970521542,0.902740762972,0.856526277178,0.531722689076,0.128870214753,0.0280012004802,0.916536614646,0.868608776844,0.306582633053,0.0653928237962,0.0190389489129,0.925498866213,0.9320861678,0.0142857142857,0.00213785514206,0.00117980525544,0.943358009871,0.995341136455
3,10,0.622735094038,0.187292917167,0.0637711751367,0.880766639989,0.81018607443,0.642581032413,0.204618514072,0.0683716820061,0.87616613312,0.792860477524,0.637454981993,0.206984460451,0.0740482859811,0.870489529145,0.790494531146,0.620114045618,0.18751934107,0.054566493264,0.889971321862,0.809959650527,0.425070028011,0.102668067227,0.0386257836468,0.905912031479,0.89481092437,0.0252100840336,0.00408329998666,0.00248232626384,0.942055488862,0.99339569161
3,15,0.675332132853,0.238282979859,0.0886044417767,0.855933373349,0.759196011738,0.68818627451,0.255579565159,0.0946351874083,0.849902627718,0.741899426437,0.676695678271,0.254692210217,0.104171668667,0.840366146459,0.742786781379,0.679943977591,0.235177070828,0.0755909030279,0.868946912098,0.762301920768,0.506988795518,0.13672635721,0.0575733626784,0.886964452448,0.860752634387,0.0344537815126,0.00570494864613,0.00365412831799,0.940883686808,0.991774042951
3,20,0.700692276911,0.276118780846,0.114156662665,0.830381152461,0.721360210751,0.712677070828,0.294761237828,0.117945845005,0.826591970121,0.702717753768,0.704787915166,0.294656529278,0.125223756169,0.819314058957,0.702822462318,0.705426170468,0.271970788315,0.0969227691076,0.847615046018,0.725508203281,0.565280112045,0.164517140189,0.0710364145658,0.87350140056,0.832961851407,0.046218487395,0.00830598906229,0.00557989862612,0.9389579165,0.989173002534
3,30,0.714613845538,0.339872615713,0.165763638789,0.778774176337,0.657606375884,0.735325463519,0.354402761104,0.151540616246,0.79299719888,0.643076230492,0.725054355075,0.357649726557,0.168758503401,0.775779311725,0.639829265039,0.735470188075,0.333511404562,0.132209550487,0.812328264639,0.663967587035,0.61043817527,0.202582032813,0.0946618647459,0.84987595038,0.794896958784,0.063025210084,0.0111474589836,0.00885720955049,0.935680605576,0.986331532613
3,50,0.721527944511,0.432344604508,0.240542550353,0.703995264773,0.565134387088,0.737742763772,0.445087701747,0.217131519274,0.727406295852,0.552391289849,0.726940776311,0.452047485661,0.237930839002,0.706606976124,0.545431505936,0.747802120848,0.425470188075,0.191668334,0.752869481126,0.572008803521,0.654334733894,0.267797452314,0.145965052688,0.798572762438,0.729681539282,0.0945378151261,0.0164182339603,0.0131259170335,0.931411898093,0.981060757636
3,70,0.718737828465,0.503272308924,0.298385020675,0.646152794451,0.494206682673,0.735702614379,0.50710250767,0.264504468454,0.680033346672,0.490376483927,0.726382886488,0.51455982393,0.294414098973,0.650123716153,0.482919167667,0.749589502468,0.491808390023,0.231315192744,0.713222622382,0.505670601574,0.682108176604,0.318873215953,0.179391423236,0.76514639189,0.678605775644,0.128991596639,0.022149859944,0.0172445644925,0.927293250634,0.975329131653
3,100,0.716578964919,0.578467386955,0.355838335334,0.588699479792,0.419011604642,0.732865146058,0.577739762572,0.31901894091,0.625518874216,0.419739229025,0.719501467254,0.586221822062,0.353056889422,0.591480925704,0.411257169534,0.749483793517,0.565342803788,0.285991063092,0.658546752034,0.432136187808,0.69308056556,0.380887688409,0.224876617314,0.719661197812,0.616591303188,0.17380952381,0.0311051087102,0.0259270374817,0.918610777644,0.966373882886
4,1,0.175482787573,0.0297619047619,0.00967074487226,0.944149574187,0.963521050738,0.230898404702,0.0383411299028,0.00772793304279,0.946092386017,0.954941825597,0.23341729639,0.0392837151653,0.00849859395199,0.945321725108,0.953999240334,0.199832073887,0.033613876561,0.0070952114403,0.946725107619,0.959669078939,0.101595298069,0.0168589154106,0.00660709287913,0.94721322618,0.976424040089,0.000839630562552,0.000104953820319,0.0,0.95382031906,0.993178001679
4,2,0.282115869018,0.0526218463876,0.0182866205536,0.935533698506,0.940661109112,0.340470193115,0.0655984700065,0.014643556835,0.939176762225,0.927684485493,0.339210747271,0.0666933216052,0.0164987405542,0.937321578505,0.926589633894,0.310663308144,0.0596464222409,0.01420474991,0.93961556915,0.933636533259,0.169605373636,0.0297758986046,0.0127923713566,0.941027947703,0.963507056895,0.00251889168766,0.000434808684179,0.0,0.95382031906,0.992848146815
4,3,0.342849146376,0.0707468713766,0.0230568549838,0.930763464076,0.922536084123,0.415617128463,0.0883131422174,0.023137152986,0.930683166074,0.904969813282,0.407920514973,0.088639665214,0.0229812215958,0.930839097464,0.904643290286,0.386090120347,0.0797502432263,0.0206809004038,0.933139418656,0.913532712273,0.209207948503,0.0395299401597,0.0174753108632,0.936345008196,0.95375301534,0.00503778337531,0.000882611650874,0.000447802966695,0.953372516093,0.992400343849
4,5,0.429401063532,0.102147721669,0.0387176309091,0.915102688151,0.89113523383,0.51301427372,0.126656271241,0.0362580464596,0.9175622726,0.866626684259,0.516442765183,0.128069316168,0.0370230431943,0.916797275865,0.865213639332,0.468863699972,0.1106769688,0.0322298188797,0.92159050018,0.882605986699,0.273579624965,0.0555145735876,0.0221799075074,0.931640411552,0.937768381912,0.0109151973132,0.00238528380846,0.00145535964176,0.952364959418,0.990897671691
4,10,0.567156451161,0.164216078259,0.0607539349353,0.893066384124,0.829066877241,0.607192835153,0.188978849306,0.0645249423587,0.889295376701,0.804304106193,0.621256647075,0.194113923207,0.0654855197047,0.888334799355,0.799169032292,0.598614609572,0.173678914611,0.0508672850612,0.902953033998,0.819604040889,0.385054575987,0.0884664081138,0.0364033158743,0.917417003185,0.904816547386,0.0251889168766,0.0045000199912,0.00283608545573,0.950984233604,0.988782935508
4,15,0.636767822158,0.21842056162,0.08708668186,0.8667336372,0.77486239388,0.667842149454,0.239650886943,0.0849542867805,0.868866032279,0.753632068557,0.672110271481,0.240604800554,0.0896855383631,0.864134780696,0.752678154945,0.643017072488,0.215953980249,0.0736049471566,0.880215371903,0.777328975251,0.46053736356,0.117661229059,0.0494708994709,0.904349419589,0.87562172644,0.0386230058774,0.00680933722495,0.00427845081497,0.949541868245,0.986473618275
4,20,0.670002199032,0.257613649994,0.111262711074,0.842557607986,0.735669305506,0.695169125585,0.28102801434,0.103505790785,0.850314528274,0.712254941159,0.696529527008,0.279035557688,0.110199845401,0.843620473658,0.714247397812,0.678571428571,0.253891954207,0.0876331080991,0.866187210961,0.739391001293,0.506968933669,0.137575466795,0.0626301094185,0.891190209641,0.855707488705,0.0499580184719,0.00871050071302,0.00615695760532,0.947663361454,0.984572454787
4,30,0.697646368931,0.320423013874,0.151328748684,0.802491570376,0.672859941626,0.726091519731,0.337568136687,0.135984166967,0.817836152093,0.655714818813,0.715661109112,0.339328362187,0.151477683153,0.802342635907,0.653954593312,0.722792971093,0.311362667093,0.114404995135,0.839415323924,0.681920288406,0.566502738795,0.178993242973,0.0860024922367,0.867817826823,0.814289712526,0.0667506297229,0.0117008516253,0.00868684445511,0.945133474605,0.981582103874
4,50,0.717169445444,0.409704063545,0.21701084856,0.7368094705,0.583578891954,0.739852798102,0.424341956206,0.191837924646,0.761982394413,0.568940999294,0.73143783402,0.42939206749,0.208149414258,0.745670904802,0.563890888009,0.750644716325,0.399449242333,0.162198299415,0.791622019645,0.593833713166,0.634981608092,0.237685418416,0.120995761865,0.832824557195,0.755597537084,0.0951581304226,0.0175346181014,0.0172530753135,0.936567243746,0.975748337398
4,70,0.722669358815,0.475097290526,0.262281262911,0.691539056149,0.518185664974,0.74240734077,0.486883771141,0.236829461704,0.716990857356,0.506399184359,0.727730465262,0.486548252102,0.259309570456,0.694510748604,0.506734703397,0.751331747364,0.456328548772,0.203753681713,0.750066637346,0.536954406728,0.667193434889,0.283088107899,0.153181266909,0.80063905215,0.7101948476,0.125384830675,0.0236909093332,0.0216194874255,0.932200831634,0.969592046166
4,100,0.724991337145,0.550480455266,0.319669012301,0.634151306758,0.442802500233,0.731599429584,0.552040102355,0.29388735623,0.65993296283,0.441242853145,0.72110637986,0.557228486133,0.320321058734,0.633499260325,0.436054469367,0.742821825064,0.522708341663,0.256414510949,0.697405808111,0.470574613837,0.695543294284,0.348232111204,0.198195793851,0.755624525209,0.645050844295,0.168625804646,0.0333449948689,0.0294783628537,0.924341956206,0.959937960631
5,1,0.194794290512,0.0307541348473,0.010714618901,0.929671611158,0.966726973465,0.259445843829,0.0412828355524,0.00755101088854,0.93283521917,0.95619827276,0.255247691016,0.0399837404875,0.00811976063865,0.93226646942,0.957497367825,0.214105793451,0.0335522370157,0.00595038183199,0.934435848227,0.963928871297,0.0999160369437,0.0156711047139,0.00779157170845,0.93259465835,0.981810003598,0.00419815281276,0.000606399850732,0.0,0.940386230059,0.996874708462
5,2,0.308564231738,0.0545383364653,0.0187500832967,0.921636146762,0.942942771847,0.35852225021,0.0658926738902,0.018855037117,0.921531192942,0.931588434422,0.374055415617,0.0703120626924,0.0164770834166,0.923909146642,0.92716904562,0.326196473552,0.0596174349953,0.0129423053856,0.927443924673,0.937863673317,0.190176322418,0.0313691975531,0.0130495915131,0.927336638546,0.966111910759,0.00587741393787,0.00083030133408,0.000279876854184,0.940106353205,0.996650806978
5,3,0.391267842149,0.0759135980169,0.0255554222809,0.914830807778,0.921567510295,0.428211586902,0.0885733610545,0.0260798581957,0.914306371863,0.908907747258,0.432829554996,0.0926772220223,0.0266526061866,0.913733623872,0.90480388629,0.401623285754,0.0807587994616,0.0188117228419,0.921574507217,0.916722308851,0.232717604254,0.0417836152093,0.0191868911012,0.921199338958,0.955697493103,0.00755667506297,0.00118014740181,0.00069969213546,0.939686537923,0.996300960911
5,5,0.483907080884,0.113282822225,0.0392847147255,0.901101515333,0.884198286087,0.527357962497,0.127916716645,0.0411375661376,0.899248663921,0.869564391668,0.544360481388,0.13416230192,0.0437530819773,0.896633148082,0.863318806392,0.492583263364,0.114542601255,0.0280766462756,0.912309583783,0.882938507057,0.300237895326,0.058228379513,0.0287916650007,0.911594565058,0.939252728799,0.0125944584383,0.00193814721523,0.0017422334173,0.938643996641,0.995542961097
5,10,0.610145535964,0.178982914184,0.0628383511255,0.877547878933,0.818498194128,0.638720962776,0.1982447723,0.071000426479,0.86938580358,0.799236336012,0.644066610691,0.201521663801,0.0766782615649,0.863707968494,0.795959444511,0.615589140778,0.177620846827,0.0531955939387,0.88719063612,0.819860261485,0.40800447803,0.0963782602322,0.0493299614836,0.891056268575,0.90110284808,0.0251889168766,0.00402656164621,0.00286174083403,0.937524489225,0.993454546666
5,15,0.663785934189,0.226207468714,0.0865076033212,0.853878626738,0.771273639599,0.687453520451,0.247627044101,0.0957015579812,0.844684672078,0.749854064212,0.68698372716,0.250383497928,0.104024229339,0.83636200072,0.747097610385,0.670025188917,0.220263084243,0.0773859501819,0.863000279877,0.777218024069,0.506731038343,0.132849213013,0.0617768182,0.878609411859,0.864631895299,0.0344248530647,0.00553989577919,0.00354144176562,0.936844788293,0.991941212533
5,20,0.689530606533,0.264405661509,0.112453520451,0.827932709608,0.733075446803,0.701781216265,0.284315901004,0.117635573681,0.822750656378,0.713165207309,0.706436168086,0.289442645236,0.126324750443,0.814061479616,0.708038463076,0.706479149174,0.259550797649,0.0936861114443,0.846700118614,0.737930310663,0.545186118108,0.157326109845,0.0785164527608,0.861869777298,0.840154998467,0.0436607892527,0.00708954726587,0.00443105033785,0.935955179721,0.990391561046
5,30,0.720003198593,0.328190262951,0.14552230352,0.794863926539,0.669290845361,0.717064158437,0.345358708835,0.156848320073,0.783537909986,0.652122399478,0.718543174337,0.35299468234,0.163781269575,0.776604960484,0.644486425973,0.741980528567,0.323128156944,0.122009649088,0.818376580971,0.674352951368,0.592321378593,0.19836505271,0.103787000386,0.836599229672,0.799116055602,0.0600335852225,0.0102748124159,0.00660709287913,0.93377913718,0.987206295896
5,50,0.731186611224,0.419301507337,0.211217730865,0.729168499194,0.578179600976,0.738753948263,0.435682299788,0.211253048659,0.7291331814,0.561798808524,0.726923486999,0.43829248464,0.22372389482,0.716662335239,0.559188623672,0.7518581824,0.409551130836,0.176701917823,0.763684312236,0.587929977477,0.643822718004,0.259311902763,0.139647221889,0.80073900817,0.73816920555,0.0948782535684,0.0165413884557,0.0108445617262,0.929541668333,0.980939719857
5,70,0.731572108272,0.487322578066,0.262981288233,0.677404941826,0.510158530247,0.733345994429,0.498825183586,0.254146842056,0.686239388003,0.498655924726,0.725383497928,0.498919475431,0.270458998041,0.669927232018,0.498561632882,0.750024322631,0.469650020658,0.21900763664,0.721378593419,0.527831087655,0.658384977277,0.302370623592,0.174991003958,0.765395226101,0.69511048472,0.131542121467,0.0233573894153,0.0135087228286,0.92687750723,0.974123718897
5,100,0.720702224355,0.565719083603,0.33265996295,0.607726267109,0.431762024709,0.723945130809,0.565068036731,0.316170218437,0.624216011622,0.432413071582,0.714466634681,0.564159769701,0.332746258313,0.607639971746,0.433321338611,0.747999546866,0.539835139205,0.267159449842,0.673226780217,0.457645969107,0.673286753828,0.358760478723,0.221569176229,0.71881705383,0.63872062959,0.175202910719,0.032618647795,0.021182679621,0.919203550438,0.964862460517
