,,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL
,,BPRMF,BPRMF,WRMF,WRMF,SVD,SVD,CoFFee,CoFFee,mostpopular,mostpopular,random,random
fold,topk,,,,,,,,,,,,
1,1,0.0559116160903,0.0345329294235,0.0854202642971,0.0369317463131,0.0875200325239,0.0436804256294,0.0720254619944,0.0273748161261,0.0386422969085,0.0291809549121,4.22686692268e-05,0.000117491252275
1,2,0.0824503576557,0.0541075247139,0.124508593144,0.0581275731383,0.127089795515,0.0707859453119,0.10510172482,0.0449673499516,0.0570713993913,0.0434601216901,0.000143207187852,0.000264576830171
1,3,0.100188329699,0.0704273280081,0.150595764266,0.0765023148928,0.151805033427,0.0927022571443,0.125842102916,0.0582075242491,0.067807712367,0.0526758051152,0.000246704383527,0.00043736517556
1,5,0.125966628061,0.0979274992876,0.18074755878,0.106543761663,0.183244052035,0.127862368042,0.152733881808,0.0773110660912,0.0831144133947,0.0665166224267,0.000434155943922,0.000671486415615
1,10,0.163327227195,0.144182710158,0.222055882335,0.157148017382,0.224084603773,0.185367734388,0.18942053703,0.11018729841,0.10428831751,0.0928667954615,0.000676682922142,0.00104528849588
1,15,0.186377602401,0.178186952042,0.246254892038,0.193067041822,0.247878190067,0.223095307191,0.210656975763,0.132673199665,0.118002856203,0.110774403355,0.000922879159132,0.00139669056473
1,20,0.203145061372,0.205487341855,0.262085797845,0.220024661322,0.264213795649,0.250233429364,0.22587387251,0.149851552314,0.128350270694,0.125135147969,0.00111634742918,0.00170632787206
1,30,0.227161162136,0.243779963655,0.284288399142,0.256952227937,0.286200597757,0.28836804781,0.245905751544,0.177284237305,0.142676454494,0.151939519714,0.00144588838467,0.00232529064939
1,50,0.255576518727,0.289477040372,0.30936752551,0.298430262242,0.310980169261,0.332015568392,0.269424739938,0.210013667583,0.16040850465,0.183788528423,0.00190787488824,0.00333245916957
1,70,0.273404023395,0.320170212061,0.325091443505,0.325398321391,0.325829746542,0.358228336338,0.283693402283,0.231463203401,0.173070266482,0.204749780238,0.00235635466605,0.00449183927607
1,100,0.290723384359,0.350710958278,0.339960906027,0.353499953315,0.340995244395,0.386155335525,0.298062648118,0.253718475225,0.188545762581,0.227909503837,0.00306799393188,0.0055334767261
2,1,0.0507391433678,0.0305078884246,0.0881821186483,0.0364310258049,0.0903679646477,0.0458011455905,0.0735551194762,0.0254485892706,0.0412905852851,0.0298921612626,0.000225906198586,5.86838085874e-05
2,2,0.0766799586158,0.0493880937294,0.125269926841,0.0616794896316,0.128849564078,0.0756299978679,0.106762190561,0.0433425376254,0.0613130197476,0.0449779703309,0.000343881216025,0.000318916280444
2,3,0.0942767758195,0.0634642084999,0.15018496037,0.0805444844433,0.152307035692,0.0977018535668,0.128024974628,0.0562292723393,0.0727481545897,0.0541057454316,0.000395056131465,0.00038525251247
2,5,0.119638282618,0.0892148827574,0.181219342227,0.110171949763,0.183937474647,0.132280800981,0.154996011602,0.0761347863714,0.088418416607,0.0680708949933,0.000528750935087,0.000746495615047
2,10,0.159105591114,0.137008798795,0.223032167191,0.159130006454,0.226086288628,0.188336992916,0.19140585333,0.110489045657,0.109129200846,0.0939670349968,0.000777165286544,0.00128649428961
2,15,0.1843422145,0.174068334431,0.246572589191,0.195837110194,0.248621923629,0.226267649676,0.212237951113,0.132780609459,0.123245898149,0.111907239013,0.000986523834459,0.0016790998952
