,,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL,nDCG,nDCL
,,BPRMF,BPRMF,WRMF,WRMF,SVD,SVD,CoFFee,CoFFee,mostpopular,mostpopular,random,random
fold,topk,,,,,,,,,,,,
2,15,0.0317926923858,0.0539279325627,0.0586476190352,0.0892447199168,0.060127329143,0.100916065872,0.0355844927237,0.0249802573535,0.0744687439532,0.0626636539952,0.00090518332188,0.00227013453429
2,20,0.0364562062332,0.0657045800521,0.0673971099845,0.104910451905,0.0687518565625,0.116569294202,0.0387962734311,0.0282805853223,0.0845415395675,0.0729575015429,0.0010742583949,0.00274315855655
2,30,0.0445284834407,0.0847453432093,0.0805510248844,0.129593192774,0.081611050937,0.142347870895,0.0439557910154,0.034373935672,0.0977513873765,0.089185792805,0.00140703471227,0.00333561656295
2,50,0.0565289406027,0.114159965772,0.0976623325264,0.162436201348,0.0990242106686,0.17728317691,0.0508437914371,0.0418347493977,0.113860806609,0.123112009849,0.00186596834584,0.00434193040787
2,70,0.0653492277773,0.133845963285,0.107915790475,0.183566311015,0.109235321827,0.200731347424,0.0559752939471,0.0478502398637,0.125815416232,0.145921769929,0.00244449475134,0.00522519247866
2,100,0.0761493069038,0.155419715136,0.118081792086,0.205790464247,0.119661259957,0.22197660343,0.0612810053429,0.0542164528897,0.140293714391,0.170064853394,0.00327473687435,0.00633959482339
3,1,0.00632967576082,0.0088317947364,0.0127729019145,0.0161126383561,0.0120809224393,0.0205224150553,0.0112296402401,0.00524463657411,0.0181238585132,0.0119565389906,0.000125723390113,0.000463783111744
3,2,0.00965482603957,0.0143254793857,0.0197512169558,0.0274900730367,0.0191852225616,0.0325632858039,0.0161364192035,0.00774669574817,0.0280923120448,0.0188494677166,0.000268488124319,0.000607143515416
3,3,0.0126635597456,0.0191170946936,0.0254892887342,0.0362728477091,0.0245099727737,0.04218881769,0.019946916191,0.0102908360468,0.036356725306,0.0223704018017,0.000337562876666,0.000695110622645
3,5,0.0178482234358,0.0271378460581,0.0343832507009,0.0487912263331,0.0340984400583,0.0554275444483,0.0259471445074,0.0141030639993,0.0478484229126,0.0311792337299,0.000449090458936,0.000921623757399
3,10,0.0269483283509,0.0444542155831,0.0492491381345,0.0726070637537,0.0487308393885,0.0815107316087,0.0338657298566,0.0204333362365,0.0666099513514,0.0455133901153,0.000692413138304,0.00129554257727
3,15,0.0339240756227,0.0578358470869,0.0603976782293,0.0913776684477,0.0593194494161,0.1016553195,0.0386274488707,0.0247525202057,0.0778219069678,0.0632245089261,0.000920021611844,0.00169627340206
3,20,0.0391615966338,0.0698656121993,0.0692083477971,0.107007142122,0.0680772827315,0.118583911905,0.041799236781,0.0281431192597,0.087674100734,0.0736539516411,0.00109241647823,0.00199213460492
