,,precision,recall,fallout,specifity,miss_rate,precision,recall,fallout,specifity,miss_rate,precision,recall,fallout,specifity,miss_rate,precision,recall,fallout,specifity,miss_rate,precision,recall,fallout,specifity,miss_rate,precision,recall,fallout,specifity,miss_rate
,,BPRMF,BPRMF,BPRMF,BPRMF,BPRMF,WRMF,WRMF,WRMF,WRMF,WRMF,SVD,SVD,SVD,SVD,SVD,CoFFee,CoFFee,CoFFee,CoFFee,CoFFee,mostpopular,mostpopular,mostpopular,mostpopular,mostpopular,random,random,random,random,random
fold,topk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.168664950349,0.0330730252135,0.011060935101,0.961796733159,0.953686812962,0.253401986024,0.0496826856279,0.0117168426768,0.961140825584,0.937077152548,0.2610518573,0.0511565293029,0.0139492518842,0.958908416376,0.935603308873,0.21574108128,0.0407051203465,0.00849632509618,0.964361343164,0.946054717829,0.110334681868,0.022921533944,0.00935582643012,0.96350184183,0.963838304232,0.000147112909158,3.50268831328e-05,4.29079318377e-05,0.972814760329,0.986724811293
1,2,0.254431776388,0.0582161100311,0.0209545701326,0.951903098128,0.928543728145,0.357594703935,0.0864424654255,0.0224498093954,0.950407858865,0.90031737275,0.361456417801,0.08824217587,0.0276334962083,0.945224172052,0.898517662306,0.312945936006,0.0709435658535,0.01724110755,0.95561656071,0.915816272322,0.171533652078,0.0400628732552,0.0165259169746,0.956331751286,0.946696964921,0.000735564545789,0.000116522764555,0.000118916268236,0.972738751992,0.986643315411
1,3,0.311732254505,0.0793263746592,0.0313269642784,0.941530703982,0.907433463517,0.422912835601,0.117439709977,0.0341212630694,0.938736405191,0.869320128198,0.416942503371,0.118321803651,0.0415737870482,0.931283881212,0.868438034525,0.370516121123,0.0951201130201,0.0255775933029,0.947280074958,0.891639725156,0.208250582322,0.0527590092062,0.0223900885596,0.950467579701,0.93400082897,0.00132401618242,0.000265474585077,0.000223821783219,0.972633846477,0.986494363591
1,5,0.388183155572,0.117310402401,0.0526090941464,0.920248574114,0.869449435775,0.484912345225,0.162015242532,0.0573229828894,0.915534685371,0.824744595644,0.478660046586,0.164884061017,0.068789908755,0.904067759505,0.821875777159,0.445168566875,0.133567021022,0.040303361997,0.932554306263,0.853192817154,0.263822483756,0.0753152127591,0.0331443341098,0.939713334151,0.911444625417,0.00308937109231,0.00055862040783,0.000395132430807,0.97246253583,0.986201217768
1,10,0.484480376189,0.188457532823,0.0985568924149,0.874300775845,0.798302305353,0.556510242444,0.240905474118,0.107583436955,0.865274231306,0.745854364058,0.54339489308,0.242768145385,0.125685855561,0.8471718127,0.743991692791,0.533144976269,0.202315627244,0.0723668832496,0.900490785011,0.784444210932,0.344120270641,0.115063252713,0.0589654810067,0.913892187254,0.871696585463,0.00573740345715,0.00101884446313,0.000771583857277,0.972086084403,0.985740993713
1,15,0.530632293619,0.242121841013,0.139636158251,0.833221510009,0.744637997163,0.589693748285,0.297889571913,0.150691284728,0.822166383533,0.688870266263,0.57416703153,0.29920687461,0.171345295014,0.801512373246,0.687552963566,0.577450451555,0.250769803324,0.0989025201842,0.873955148076,0.735990034852,0.403302830756,0.146584616193,0.0806015575287,0.892256110732,0.840175221983,0.00890033100405,0.0016003199122,0.00121411933659,0.971643548924,0.985159518264
1,20,0.557502729178,0.286174334635,0.176599298295,0.796258369966,0.700585503541,0.603300028605,0.339608837283,0.187021810073,0.785835858188,0.647151000893,0.592333140685,0.342391402068,0.208011407088,0.764846261172,0.644368436108,0.60494448239,0.290206220774,0.121587914558,0.851269753703,0.696553617401,0.440785098396,0.173449213938,0.100139115104,0.872718553156,0.813310624237,0.0112173593233,0.00211985615627,0.00167845905065,0.97117920921,0.98463998202
1,30,0.590546039919,0.356617512274,0.234087024291,0.738770643969,0.630142325902,0.621531638032,0.405040981453,0.242222572491,0.730635095769,0.581718856723,0.608874761379,0.406532805595,0.265486348272,0.707371319988,0.580227032581,0.633089925685,0.347972819139,0.161662638575,0.811195029685,0.638787019037,0.480116084929,0.215841404111,0.140388448134,0.832469220126,0.770918434065,0.0165869805075,0.00312314284547,0.00259738932964,0.970260278931,0.98363669533
1,50,0.613918369849,0.451124684028,0.311977851334,0.660879816926,0.535635154147,0.635155723685,0.488223173786,0.312723048273,0.660134619988,0.49853666439,0.622079779564,0.489358278312,0.339546898078,0.633310770183,0.497401559864,0.657235007035,0.425343818047,0.216396054805,0.756461613455,0.561416020129,0.519228620466,0.275193873798,0.194896466371,0.777961201889,0.711565964378,0.0248253034204,0.00472302492163,0.00431032067112,0.968547347589,0.982036813254
1,70,0.620659994045,0.516703795163,0.369866547575,0.602991120685,0.470056043013,0.636285807691,0.545945755034,0.363737339241,0.609120329019,0.440814083142,0.623639993695,0.544207575147,0.389003981389,0.583853686871,0.442552263029,0.663064210115,0.476941832023,0.256127602935,0.716730065325,0.509818006153,0.545583985709,0.322039352703,0.23453805379,0.738319614471,0.664720485473,0.0340198602427,0.00639047969316,0.00645452051116,0.966403147749,0.980369358483
1,100,0.622244143213,0.585217487755,0.432463849338,0.540393818923,0.401542350421,0.632123738302,0.605237073621,0.421132535888,0.551725132372,0.381522764555,0.620622748793,0.60461674752,0.445960904161,0.5268967641,0.382143090655,0.66554350047,0.534238895019,0.300897038477,0.671960629783,0.452520943157,0.575581884096,0.383493552135,0.281915153213,0.690942515047,0.603266286041,0.0494054186588,0.00917047584021,0.00866941627699,0.964188251983,0.977589362336
2,1,0.151894078705,0.0299154392663,0.00968858181988,0.962212852531,0.957506407001,0.257521147481,0.0517134859338,0.0115767351442,0.960324699207,0.935708360333,0.266200809121,0.0529391641418,0.0145269911324,0.957374443219,0.934482682125,0.215888194189,0.0409549204014,0.00793878468391,0.963962649667,0.946466925866,0.120926811328,0.0243897149395,0.00960842863564,0.962293005715,0.963032131327,0.000588451636631,0.000171602538281,2.37015242532e-05,0.971877732827,0.987250243729
2,2,0.241853622655,0.0541592964267,0.0192408506862,0.952660583665,0.93326254984,0.353512320706,0.0868096639171,0.0242741262252,0.947627308126,0.90061218235,0.359985288709,0.0895135057824,0.0293976543664,0.942503779984,0.897908340485,0.309966899595,0.0718338908446,0.0166617045249,0.955239729826,0.915587955422,0.184700257448,0.0432719487206,0.0172672901452,0.954634144206,0.944149897546,0.00125045972784,0.000280915602725,0.000149360467492,0.971752073883,0.987140930664
2,3,0.299644477136,0.0755125308674,0.0282866892006,0.94361474515,0.9119093154,0.412774304279,0.116906367304,0.0361750351728,0.935726399178,0.870515478963,0.408373176413,0.117870102804,0.0434512571732,0.928450177178,0.869551743463,0.369155326713,0.0964513389026,0.0246883483073,0.947213086044,0.890970507364,0.221650116464,0.056923384531,0.0230534977262,0.948847936625,0.930498461736,0.00154468554616,0.00033444835578,0.000199098641541,0.971702335709,0.987087397911
2,5,0.379502267991,0.113377262883,0.0483027139997,0.923598720351,0.874044583384,0.47865269094,0.162323887751,0.0592739219017,0.912627512449,0.825097958516,0.47140125046,0.164631896647,0.0703267716306,0.90157466272,0.82278994962,0.441834007601,0.135233541743,0.0399730876781,0.931928346673,0.852188304524,0.278042172367,0.0797369772967,0.0338936175181,0.938007816833,0.90768486897,0.00257447591026,0.000523535146558,0.000477474795239,0.971423959556,0.98689831112
2,10,0.483856255509,0.188765185613,0.0956591475624,0.876242286788,0.798656660654,0.54937996579,0.241732692341,0.107709358599,0.864192075751,0.745689153926,0.539045517435,0.245332259176,0.125864375909,0.846037058442,0.742089587091,0.52939283817,0.202688167335,0.0732961464591,0.898605287892,0.784733678932,0.352942958721,0.118787135793,0.0594825069908,0.91241892736,0.868634710474,0.00514895182052,0.000974126808993,0.00102698821345,0.970874446137,0.986447719458
2,15,0.534060170347,0.247445314279,0.140342913186,0.831558521165,0.739976531988,0.579352002662,0.297905012931,0.151589636713,0.820311797638,0.689516833336,0.565689708518,0.298337770072,0.171340653952,0.800560780399,0.689084076195,0.572896051886,0.250784427048,0.0997256519379,0.872175782413,0.736637419219,0.40860470411,0.151673672043,0.0810622777982,0.890839156553,0.835748174224,0.00742920191247,0.00151094298207,0.00150437544148,0.970397058909,0.985910903285
2,20,0.561299176284,0.293194159851,0.179294383439,0.792607050912,0.694227686416,0.597786534499,0.341225765775,0.188011611412,0.783889822939,0.646196080492,0.582838636987,0.340213518042,0.208968983695,0.762932450656,0.647208328225,0.599561317478,0.288110591546,0.122351617366,0.849549816985,0.699311254721,0.443422418373,0.177869139565,0.100592625674,0.871308808677,0.809552706702,0.0101507907319,0.00204507376078,0.00187096096254,0.970030473388,0.985376772506
2,30,0.588482868935,0.359756066948,0.237079370917,0.734822063434,0.627665779319,0.615414251271,0.403621896472,0.243996041962,0.727905392389,0.583799949795,0.604149430521,0.402768729166,0.26405193903,0.707849495321,0.584653117101,0.631118379189,0.342081764421,0.159166272614,0.812735161737,0.645340081846,0.477232146506,0.21897228206,0.14053378051,0.831367653841,0.768449564207,0.0163663111438,0.00310711804643,0.00276114000829,0.969140294343,0.984314728221
